iteration,param_key,min_confluence,weighted_threshold,max_risk_per_trade,entry_buffer,avoid_bear_market,return,trades,win_rate,profit_factor,max_drawdown
1,3b4d8237,2,0.6,1.5,2.0,True,0,0,0.0,inf,0.0
2,46ada7d1,2,0.6,1.5,2.0,False,0,0,0.0,inf,0.0
3,d6b9ea6a,2,0.6,1.5,3.0,True,0,0,0.0,inf,0.0
4,15172361,2,0.6,1.5,3.0,False,0,0,0.0,inf,0.0
5,9d3cab63,2,0.6,1.5,4.0,True,0,0,0.0,inf,0.0
6,e26b404b,2,0.6,1.5,4.0,False,0,0,0.0,inf,0.0
7,2a3fc66a,2,0.6,2.0,2.0,True,0,0,0.0,inf,0.0
8,d62376af,2,0.6,2.0,2.0,False,0,0,0.0,inf,0.0
9,f567ee27,2,0.6,2.0,3.0,True,0,0,0.0,inf,0.0
10,21616447,2,0.6,2.0,3.0,False,0,0,0.0,inf,0.0
11,5fe2a609,2,0.6,2.0,4.0,True,0,0,0.0,inf,0.0
12,854dd264,2,0.6,2.0,4.0,False,0,0,0.0,inf,0.0
13,18abe03d,2,0.6,2.5,2.0,True,0,0,0.0,inf,0.0
14,be14bc8e,2,0.6,2.5,2.0,False,0,0,0.0,inf,0.0
15,e0e8ffdb,2,0.6,2.5,3.0,True,0,0,0.0,inf,0.0
16,9a8a5976,2,0.6,2.5,3.0,False,0,0,0.0,inf,0.0
17,230f4435,2,0.6,2.5,4.0,True,0,0,0.0,inf,0.0
18,b6250a82,2,0.6,2.5,4.0,False,0,0,0.0,inf,0.0
19,a5ff4f6a,2,0.65,1.5,2.0,True,0,0,0.0,inf,0.0
20,c212d359,2,0.65,1.5,2.0,False,0,0,0.0,inf,0.0
